model,fold,mae,rmse,r2
linear,1,13.492114797278328,14.639031656093728,-161.84289348640905
linear,2,2.894254681055302,3.0034155654607146,-70.8193077934053
linear,3,4.496155265669571,5.914850686897826,-1.1760373842050855
mlp,1,17.351151911674382,18.668951225703914,-263.8402278630028
mlp,2,0.7028517533149632,0.9554156264948,-6.267667351516333
mlp,3,3.1683111561177206,3.9865940203781647,0.011486049950556243
naive_mean,1,1.0475,1.15862256580821,-0.020065539513677955
naive_mean,2,0.9799999999999998,1.042113237609042,-7.646496815286625
naive_mean,3,3.0944444444444446,4.047536211415045,-0.018967344797485186
random_walk,1,2.38,3.2591409911202063,-7.071428571428571
random_walk,2,0.5,0.5234500931320959,-1.1815286624203818
random_walk,3,4.9,6.513217330935611,-1.6385778971985867
xgboost,1,1.8013803148269656,1.9510809663577653,-1.892642049607562
xgboost,2,0.7411947107315063,0.8411697668124437,-4.633491851905264
xgboost,3,3.1481196620315317,4.319730259870231,-0.16062531211365716
